BCVAP_2012.ObamaD_12G_President,BCVAP_2012.RomneyR_12G_President,BCVAP_2012.X12G_President_abstain,HCVAP_2012.ObamaD_12G_President,HCVAP_2012.RomneyR_12G_President,HCVAP_2012.X12G_President_abstain,OCVAP_2012.ObamaD_12G_President,OCVAP_2012.RomneyR_12G_President,OCVAP_2012.X12G_President_abstain,WCVAP_2012.ObamaD_12G_President,WCVAP_2012.RomneyR_12G_President,WCVAP_2012.X12G_President_abstain,X12G_President_CVAP.ObamaD_12G_President,X12G_President_CVAP.RomneyR_12G_President,X12G_President_CVAP.X12G_President_abstain,CD,sldu172,sldl358
120.55846861022972,29.551582729537568,130.88994866023214,12.115973588724911,3.7332893622726675,25.150737049002437,50.14708904025799,19.257673927082912,27.59523703265977,78.52146635168987,701.4982977804358,658.980235867869,0.0,0.0,0.0,4,3,8
97.29812171975716,24.910494015488386,114.79138426475326,55.273221190405806,18.767311513753896,124.95946729584027,12.228692885632825,5.105278625412224,7.666028488954975,63.77903498283456,1130.9079208419002,1339.3130441752578,0.0,0.0,0.0,4,5,57
25.443131861728563,5.305354579647626,23.251513558624378,11.235150507885026,2.8198081490840807,19.945041343030372,8.33199978891976,3.1027008806372796,4.565299330443008,62.62534765400047,639.2373382045954,419.13731414139994,0.0,0.0,0.0,4,3,8
42.90451721031114,8.591531784768936,38.50395100492005,3.3772621919381067,0.9452793037335429,6.677458504328558,23.30588912599341,8.475802799362667,12.218308074643485,58.46052773582824,711.2308134330428,874.3086588311173,0.0,0.0,0.0,4,3,57
0.0,0.0,0.0,1.181104103804404,0.3688407553974264,2.4500551407981876,8.47952793942667,6.230157728090065,9.29031433248353,4.8381666978903315,166.74073730220775,156.42109599989945,0.0,0.0,0.0,4,3,57
244.1693767190547,39.73047000437938,684.1001532765537,37.00696202350375,11.152472358083253,74.84056561841209,17.91472822381172,6.737095036034893,10.34817674015363,87.09654484204914,259.53769115965605,309.3657639982836,0.0,0.0,0.0,4,3,8
302.8853425922468,17.2431511066471,595.8715063010914,40.89501028928894,9.071357656774246,86.03363205393603,15.97729293484997,6.026541731476193,8.99616533367346,139.09632362291592,117.80370972233258,600.0999666547549,0.0,0.0,0.0,4,3,8
44.723507440420256,4.933182844819482,409.3433097147634,28.145597602963782,5.1062916234467055,95.7481107735914,10.0642409751134,3.87722754684596,6.058531478040839,22.88085278856185,40.37806132825335,262.7410858831879,0.0,0.0,0.0,4,3,8
84.79895482723832,39.04228940167053,199.1587557710876,22.813487203777324,7.00056724381219,49.185945552412534,1.512221324184015,0.580154426354283,0.9076242494617439,48.78087436739407,512.8278233456415,645.3913022869347,0.0,0.0,0.0,4,5,57
14.284562567159865,22.832654431915646,2649.8827830009404,13.114951570859297,29.002060904677148,1572.8829875244671,13.714722081264545,16.16382934109262,25.12144857764135,7.873632632544016,213.60183656110146,2947.5245308063595,0.0,0.0,0.0,4,5,8
67.35253058744934,51.29529494560147,1566.3521744669424,57.478052888981686,48.232514069622404,666.2894330413869,20.730094563494404,9.840217300681372,13.429688135823342,35.77739847472915,410.24369323168395,1509.9789082935704,0.0,0.0,0.0,4,5,8
124.04240323881208,48.62938930677542,201.328207454417,49.83399783268902,16.876889614613834,106.28911255270036,17.851115136569856,7.18305023052883,9.96583463290177,65.30322493596118,708.8477736421842,686.8490014218567,0.0,0.0,0.0,4,3,8
11.72324555754313,2.668788012398534,11.60796643005831,4.656553018730519,1.3966575743529797,8.946789406916398,10.833754999264555,4.354608741647283,5.811636259088415,63.59921345893186,453.534276199545,321.8665103415288,0.0,0.0,0.0,4,3,11
45.91479215471626,16.075731642049895,97.00947620323383,16.448592030164377,4.718187444829403,36.8332205250067,6.499636910654653,2.6776100579155204,3.8227530314297606,26.99167634913225,312.01364886973624,443.9946747811458,0.0,0.0,0.0,4,3,11
69.70597988074994,19.23480475803541,97.05921536121444,23.338797478656957,7.341265552611455,49.31993696873296,12.52732188871841,4.505347864350935,6.967330246930823,40.62907525758506,312.7649093902777,548.6060153521266,0.0,0.0,0.0,4,3,8
136.11725438437963,56.995435433650975,303.88731018196097,21.996834492750953,7.052961991586891,43.95020351566231,6.411638626589443,2.5210985353463653,4.067262838064231,81.85173505648585,887.4035174465164,1097.744747497013,0.0,0.0,0.0,4,3,11
113.50243867026583,52.59865528647025,252.89890604326476,55.24575224493115,17.963290903854443,127.790956851215,51.33179816099708,25.074765682651055,32.59343615635219,61.14161846558249,903.1044076034548,828.7539739309586,0.0,0.0,0.0,4,3,8
89.33524569458237,41.175087036178795,186.48966726923788,31.345653221341298,10.259762862822726,69.39458391583543,6.6656525257978245,2.5710199549854558,3.7633275192166686,42.311883533058946,464.2140005542599,349.4741159126859,0.0,0.0,0.0,4,3,8
56.80810236191717,53.577097277754696,237.61480036032847,42.32032684292313,18.68679019241899,137.99288296466267,11.889542932106256,5.170233518138352,6.940223549754985,29.794287659686933,818.2096540799115,458.99605826039584,0.0,0.0,0.0,4,3,8
39.75349841944816,7.613005147314975,36.633496433236,15.06008015342383,3.741117905713298,28.198801940862587,3.085159238591622,1.1858400063038999,1.7290007551044597,68.42043495504919,486.6667743495444,578.9127906953792,0.0,0.0,0.0,4,3,8
64.35666209051857,13.21100435150649,69.43233355797256,6.108647425553967,1.7426087846164073,13.148743789829677,2.4947646012944054,0.993133516543375,1.51210188216232,44.04511384900374,686.0043060522921,899.9505800986886,0.0,0.0,0.0,4,3,8
