"","ccount.BCVAP_2012.RomneyR_12G_President","ccount.HCVAP_2012.RomneyR_12G_President","ccount.WCVAP_2012.RomneyR_12G_President","ccount.OCVAP_2012.RomneyR_12G_President","ccount.X12G_President_CVAP.RomneyR_12G_President","ccount.BCVAP_2012.ObamaD_12G_President","ccount.HCVAP_2012.ObamaD_12G_President","ccount.WCVAP_2012.ObamaD_12G_President","ccount.OCVAP_2012.ObamaD_12G_President","ccount.X12G_President_CVAP.ObamaD_12G_President","ccount.BCVAP_2012.X12G_President_abstain","ccount.HCVAP_2012.X12G_President_abstain","ccount.WCVAP_2012.X12G_President_abstain","ccount.OCVAP_2012.X12G_President_abstain","ccount.X12G_President_CVAP.X12G_President_abstain"
"1",102523.287060665,242332.550800282,4079173.19231857,134665.766682857,7236.93955463089,927310.754892574,1125318.7629126,911008.182490473,341481.060907291,4450.19960316945,1000042.95804676,2841812.68628712,3974810.62519096,209944.172409853,51.8608421996529
"2",102187.344390264,244448.709044536,4082129.55417388,133908.778102491,7224.17987207298,932140.363543837,1130740.17348398,902712.836677606,338458.752503725,4467.22722306479,995549.292065899,2834275.11747147,3980149.60914849,213723.469393784,47.5929048622172
"3",99890.4375370274,252933.211291597,4075806.79181881,134247.910906752,7219.97921687697,935042.079833382,1118296.95701562,913791.075430333,339123.423949342,4455.98760803847,994944.482629594,2838233.83169278,3975394.13275087,212719.665143907,63.0331750845481
"4",100787.042206586,254972.124006395,4069595.88650283,137150.224388414,7234.5289027304,922830.538476861,1114763.43630302,925535.529924136,341780.825691657,4454.57515989224,1006259.41931656,2839728.43969058,3969860.58357304,207159.949919928,49.8959373773532
"5",109435.04114737,253923.964623334,4069496.31518826,128489.426595505,7227.79715307448,930018.678192456,1111575.5265942,917670.529933775,343850.664264375,4461.01162166136,990423.280660179,2843964.50878247,3977825.15487795,213750.909140121,50.1912252641455
"6",110637.176033644,248880.098397118,4076419.3842376,129033.041455207,7226.4597735925,926149.805966126,1119013.29711751,918476.565126263,340614.465329717,4466.62185525136,993090.018000234,2841570.6044854,3970096.05063616,216443.493215079,45.9183711561274
"7",106872.80738298,252614.842076036,4069734.00137138,132836.916504809,7219.46190526504,921058.613887427,1116413.59024472,921103.59502996,345881.079523471,4470.46323432724,1001945.57872959,2840435.56767925,3974154.40359865,207373.003971721,49.0748604077202
"8",106788.302812298,248570.893282111,4074841.74811222,129642.220367408,7202.31161477484,896315.273964135,1120699.99514646,931328.89809809,355604.099496289,4485.12583410477,1026773.42322357,2840193.11157142,3958821.35378968,200844.680136305,51.5625511203916
"9",105939.754407982,246605.620071867,4074945.9295621,133090.67166152,7224.917291196,889112.9872064,1123587.91567833,935876.978944636,356384.718585451,4461.10536778721,1034824.25838562,2839270.46424978,3954169.09149324,196615.609753029,52.9773410167766
"10",106840.280296476,244928.981708921,4082235.30309102,128315.722999639,7212.73478574184,891480.408687152,1126500.45715663,938458.94107801,348725.553824009,4461.44587402994,1031556.31101637,2838034.56113445,3944297.75583095,209049.723176354,64.8193402282185
"11",100011.987285538,247005.829954954,4088691.43207584,126803.174238002,7222.29458400116,895157.91282977,1120720.52757774,937276.92595154,351571.659217718,4473.37915875031,1034707.09988469,2841737.64246731,3939023.64197263,207716.166544281,43.3262572485268
"12",102483.558788013,245156.781651747,4088377.87340228,125432.081206251,7233.27831486649,899068.708129559,1132224.0365147,922300.780741244,351295.531733095,4453.34046099508,1028324.73308243,2832083.18183356,3954313.34585647,209363.387060656,52.3812241384207
"13",103172.342429603,245914.844131007,4090671.00505707,124868.440026477,7222.79340433796,904430.479677812,1122738.5537474,924873.570884122,350286.016680599,4463.92413890074,1022274.17789258,2840810.60212159,3949447.42405882,210936.543292922,52.282456761299
"14",108396.972471139,250620.992732753,4080156.47586651,126528.104494808,7220.69440867857,902927.533739416,1118881.30273443,929572.810515528,351262.853279506,4459.15238943861,1018552.49378944,2839961.70453282,3955262.71361796,208300.042225687,59.1532018828179
"15",102271.927311005,249839.862809858,4082194.24390439,128892.02526905,7238.84807221827,896956.439944813,1122581.84304458,933056.970062881,352320.170793531,4447.66545163398,1030648.63274418,2837042.29414557,3949740.78603271,204878.803937418,52.4864761477396
"16",98108.1104107233,246162.874444153,4090540.28717326,130000.422345573,7229.65355709438,903672.761536917,1130264.46769753,919762.98837107,351839.063591872,4450.93237680715,1028096.12805236,2833036.65785831,3954688.72445568,204251.514062556,58.4140660984712
"17",102569.628259494,253573.958213597,4075898.92609496,129432.567264472,7229.58319860456,903779.406129614,1121993.8375064,930380.234945887,346479.441807215,4462.24619567157,1023527.96561089,2833896.20428,3958712.83895915,210178.990928312,47.1706057238641
"18",102340.730354738,255708.094285816,4068499.14907869,130836.181943223,7241.80519321384,911907.808187503,1116439.89826442,930154.131566488,347170.493740018,4446.51127327581,1015628.46145776,2837316.00744977,3966338.71935483,208084.324316757,50.6835335103511
"19",103226.795146513,254605.60658867,4072601.09714954,133901.583415574,7228.81017189648,909328.061655285,1106413.73384307,932851.532251106,356355.511024665,4455.3831362367,1017322.14319821,2848444.65956826,3959539.37059934,195833.905559761,54.806691866815
"20",97565.7072762124,257152.120191231,4075526.51479589,129430.615725527,7218.44519608165,918561.58295498,1106584.98426193,929889.669930739,351140.255719326,4471.72622375647,1013749.70976881,2845726.89554685,3959575.81527336,205520.128555146,48.8285801618751
"21",102407.74594968,260673.523969627,4067949.77717308,128873.477969948,7217.74379488675,913432.308959015,1106969.38452594,934901.802460828,348245.631893245,4479.39115369298,1014036.94509131,2841821.09150443,3962140.4203661,208971.890136808,41.8650514202625
"22",101323.308567015,258437.432703707,4080092.58504027,126238.732611134,7217.05391389165,905591.895653763,1120065.46584014,927038.387998176,350037.777255073,4474.18214406255,1022961.79577922,2830961.10145615,3957861.02696155,209814.490133795,47.763942045791
"23",105839.178221427,253894.595615562,4068877.46040722,133151.979456762,7196.68435845447,913720.037905111,1117376.81322652,918083.118148971,355963.562935788,4484.30428613209,1010317.78387346,2838192.59115792,3978031.4214438,196975.457607449,58.0113554134299
"24",105500.550442409,243980.752284366,4075705.26166358,137059.3907341,7209.96055238926,923135.506316075,1108043.91098042,924291.397524753,348643.323958415,4485.15677444228,1001240.94324152,2857439.33673522,3964995.34081169,200388.285307487,43.8826731684523
"25",102721.69934953,247137.549875844,4073516.50884002,137949.321189864,7208.5154126268,921680.963827713,1113832.46472982,920974.221433596,347636.734441726,4482.38674806219,1005474.33682275,2848493.98539436,3970501.2697264,200504.94436841,48.0978393109999
"26",99479.8790960573,248921.603502554,4081578.8576204,133498.861500166,7198.62896771504,915409.58241197,1113481.33566098,929771.784431835,346467.043343974,4491.46048962392,1014987.53849197,2847061.06083646,3953641.35794778,206125.095155859,48.9105426610336
"27",100554.342837905,250262.556057611,4078943.01146695,131431.066526591,7184.16627946169,905608.450492729,1111513.76356811,930292.082997585,358250.137381067,4513.22418374684,1023714.20666937,2847687.68037428,3955756.90553547,196409.796092341,41.6095367914613
"28",100370.62353534,255773.649888015,4071920.08330486,133473.188555485,7170.17454048126,905130.834985849,1113025.15184378,933718.273266881,355342.06508858,4518.28811124592,1024375.54147881,2840665.19826822,3959353.64342824,197275.746355935,50.537348272812
"29",106053.612199048,260198.508127057,4064571.31771637,131418.244702668,7170.37106634623,910516.975485903,1118200.51026779,922602.819134341,352740.209435455,4515.49971104613,1013306.41231505,2831064.98160514,3977817.86314931,201932.545861877,53.1292226076383
"30",106896.893264954,252162.003522409,4069509.74331286,134828.304634758,7173.0296646266,917168.095989773,1130545.3579572,907504.608954532,347794.535528552,4527.89093358823,1005812.01074527,2826756.63852039,3987977.64773261,203468.15983669,38.0794017851598
"31",109929.36500142,253148.018275132,4063922.78976282,135407.277360821,7174.68963255132,913197.685743434,1129693.82069293,919912.260684606,340686.677594219,4508.72590314357,1006749.94925514,2826622.16103194,3981156.94955256,209997.045044959,55.5844643051006
"32",112093.732164628,256335.882192136,4059650.74493409,135628.080482729,7162.26964499462,914925.573251,1130531.80585022,916403.295114211,342777.465335122,4518.40307377607,1002857.69458437,2822596.31195763,3988937.9599517,207685.454182148,58.3272812293035
"33",110804.618893669,254575.126308528,4059290.14423753,137125.848377622,7176.88494512879,907769.383148936,1133237.98043615,917388.03189406,345214.069923127,4510.86432320124,1011302.9979574,2821650.89325533,3988313.82386837,203751.08169925,51.2507316699651
"34",111329.848924793,258501.872599626,4062111.42288607,131335.174206073,7188.81025598139,911673.856549107,1139774.32085536,909102.790130989,342726.42801063,4499.75551669531,1006873.29452611,2811187.80654503,3993777.78698294,212029.397783298,50.4342273232903
"35",110299.502847185,261189.756640443,4060379.06884598,129053.168681193,7187.63599224344,910137.565143096,1150399.7282159,908804.401262857,336703.949945057,4509.06675970939,1009439.93200971,2797874.51514365,3995808.52989116,220333.881373751,42.2972480471665
"36",108345.661447577,256439.740611613,4070571.1446809,125054.294995338,7177.31553251947,917183.478559531,1138662.26521293,906617.012411122,343839.585339276,4512.51670938877,1004347.85999289,2814361.99417542,3987803.84290798,217197.119665385,49.1677580917485
"37",111502.768740959,254003.5317636,4072364.50578294,126500.972351964,7181.71383702565,914787.265650995,1130306.13264607,911861.773109819,344631.907888183,4511.56280484878,1003586.96560805,2825154.33559034,3980765.72110726,214958.119759853,45.7233581255595
"38",108938.062128401,248012.933696481,4079139.02279404,124729.159569398,7182.9852854942,903143.594687252,1141733.57780825,917273.287315347,342107.10368172,4510.5981285363,1017795.34318434,2819717.48849527,3968579.6898906,219254.736748883,45.4165859694954
"39",104390.449659327,252842.808929538,4080871.63411189,124454.850145131,7166.83572309098,900352.961527403,1141589.97591066,922259.096872735,341587.104922966,4513.51912570755,1025133.58881326,2815031.21515981,3961861.26901537,220049.044931906,58.645151201464
"40",99524.4370675157,248008.466520171,4091488.24461873,121556.581818357,7186.78768667471,895562.09620041,1142226.95985879,924311.474674551,343190.674482923,4501.21702199702,1034790.46673208,2819228.57362103,3949192.28070673,221343.743698721,50.9952913282624
"41",101504.275627468,246654.078633796,4097234.72102919,117352.588296434,7183.56821495894,901542.397730692,1125402.34419347,931090.58646633,348426.157325259,4507.67674543836,1026830.32664184,2837407.57717272,3936666.69250446,220312.254378308,47.7550396026919
"42",108053.491979367,250334.098095705,4084504.71912996,120426.824373219,7204.657688209,906292.861481266,1119740.62265848,929366.504267444,349355.834889435,4483.60778411663,1015530.64653937,2839389.27924584,3951120.77660259,216308.340737347,50.7345276743654
"43",105199.791915589,244360.982801527,4095724.47051268,120646.1019138,7176.8820338125,902525.762403244,1123889.68055152,926358.159538543,349666.118400645,4504.1277258796,1022151.44568117,2841213.33664696,3942909.36994876,215778.779685556,57.9902403078862
"44",105177.379566688,249263.346253334,4081605.77445478,123196.871212146,7160.66932940786,898050.036826068,1120903.83378127,928689.094289918,356064.304714411,4519.29224122075,1026649.58360724,2839296.81996538,3954697.13125532,206829.824073446,59.038429371381
"45",109453.455955567,253649.572885399,4075974.82930613,122354.862124542,7182.37018073589,900844.3274944,1122977.71612096,929712.2653785,352755.252568314,4506.87660157126,1019579.21655003,2832836.71099364,3959304.90531537,210980.885307143,49.7532176928401
"46",111810.611351051,256820.033942893,4073831.19173132,122028.153331101,7212.52143381178,894101.574171059,1127306.61494392,926975.110417015,355557.78364669,4476.62614459461,1023964.81447789,2825337.35111318,3964185.69785165,208505.063022209,49.852421593606
"47",115662.763192615,258256.172428679,4067890.55361595,120340.588006455,7214.9962633324,891391.013829677,1130093.77330579,931024.90773363,351170.909551665,4481.14866598001,1022823.22297771,2821114.05426553,3966076.53865042,214579.502441879,42.8550706875789
"48",111741.916929638,256465.284857492,4072994.4589728,121539.439395263,7187.06826451655,888153.875704347,1126011.88581894,936008.713501147,352948.585965172,4484.57773649235,1029981.20736601,2826986.82932356,3955988.82752604,211602.974639566,67.3539989911001
"49",109214.188057898,252930.401120989,4080491.83935167,120164.700356233,7143.96334531981,897348.386824538,1119714.02237858,937034.314219831,348249.318106767,4532.54879997877,1023314.42511756,2836819.57650044,3947465.84642852,217676.981537,62.4878547014134
"50",105220.681881966,251022.202397657,4076561.65457476,128122.882565621,7129.7803997539,902432.409402545,1116816.13884452,944181.076831895,341249.633044674,4547.08555378694,1022223.90871549,2841625.65875782,3944249.26859332,216718.484389705,62.1340464591544
"51",108083.749359894,249691.777848874,4078208.17251216,127137.118999668,7104.09116869795,905493.335913345,1132045.92926661,922970.010233537,344436.589766522,4581.84972252719,1016299.91472676,2827726.29288452,3963813.81725433,214517.291233811,53.0591087748591
"52",106327.732786601,247466.811812179,4080682.20625434,127280.462335418,7111.73152022545,904321.834898479,1137094.57685472,919381.164054593,342921.802614346,4571.62267414402,1019227.43231491,2824902.61133309,3964928.62969106,215888.735050237,55.6458056305265
"53",108294.94820209,253842.933995526,4077051.09123703,124134.359539195,7097.96546820655,908467.713715326,1133817.32111861,915650.28012277,345485.662911506,4594.88868731467,1013114.33808258,2821803.74488587,3972290.62864019,216470.9775493,46.1458444787761
"54",108923.813453889,247800.812305406,4079321.28387643,126001.548565999,7072.23453958542,908130.347408208,1134935.63159277,911042.70041607,349335.420086162,4599.84358777711,1012822.8391379,2826727.55610183,3974628.01570748,210754.031347842,66.9218726374628
"55",106108.743239792,254258.279387411,4075147.20452448,128894.397009967,7089.14209780319,912990.099826687,1135313.23846837,900472.314721004,354956.604547988,4603.44433392243,1010778.15693352,2819892.48214422,3989372.48075452,202239.998442045,46.4135682743717
"56",103637.950089012,251367.022361097,4081750.20768406,127024.243079168,7058.86057186491,901874.006077935,1136628.88427453,910111.877807766,354811.23339028,4622.81255214836,1024365.04383305,2821468.09336437,3973129.91450818,204255.523530551,57.3268759867209
"57",104887.584037309,248950.456492768,4081929.23173459,129374.317945595,7035.25750439922,910832.111205951,1132319.57637125,905138.693674823,353931.122172433,4641.67457443221,1014157.30475674,2828193.96713598,3977924.07459057,202785.559881973,62.0679211685637
"58",101132.902560275,253356.30377695,4077617.23727553,130359.036518184,7062.36431127555,913911.114527636,1123027.04599126,917227.070252813,349771.732029724,4620.64468373121,1014832.98291209,2833080.65023179,3970147.69247165,205960.231452091,55.991004993227
"59",99184.8760095948,252987.823333536,4080769.78078363,129260.856010574,7074.08182658464,919877.399576279,1117893.29017396,915836.129017485,350308.242822764,4615.9185688533,1010814.72441413,2838582.8864925,3968386.09019885,206521.901166662,48.9996045620528
"60",97894.3978119863,249808.469610325,4084631.61887296,131619.702680477,7056.14582217112,913562.984717506,1114634.24105477,924263.098182008,349521.062845535,4629.52770862938,1018419.61747051,2845021.28933492,3956097.28294502,204950.234473988,53.3264691994915
"61",105071.928044497,247202.236935179,4082407.70335947,127687.399592973,7038.6918055458,901950.509456278,1121292.73668196,931784.75292108,348451.876340234,4634.86164543364,1022854.56249923,2840969.02638287,3950799.54371946,209951.724066792,65.4465490205546
"62",104776.51450063,246934.646561195,4085388.18582496,126501.184086179,7038.09857447112,897482.258211925,1125660.42210998,925908.66219361,355724.816830685,4642.64689109953,1027618.22728744,2836868.93132883,3953695.15198143,203864.999083136,58.2545344293434
"63",108101.407346389,245268.804518872,4089117.02893999,123022.442651503,7076.38032514902,894387.401056203,1124881.83330185,921920.087235238,362867.342819785,4621.75477649533,1027388.1915974,2839313.36217928,3953954.88382476,200201.21452871,40.8648983556518
"64",106175.972983939,244228.905718886,4080640.80793205,127418.657327985,7059.42384509678,903409.61445894,1127784.43345775,911205.324715599,364085.407190044,4630.13923221578,1020291.41255712,2837450.66082336,3973145.86735235,194586.935481971,49.4369226874333
"65",106243.774302682,244930.646513442,4085069.8229407,125427.200861243,7053.13897455397,909472.189572751,1130693.79639086,906091.511049979,356713.478186044,4626.41549038484,1014161.03612457,2833839.5570957,3973830.66600932,203950.320952713,59.445535061187
"66",108988.668460617,241149.840091618,4083548.842339,130002.666691418,7059.30680069834,914509.842371381,1122953.59094681,918658.022295499,350335.84961072,4631.36258010274,1006378.489168,2845360.56896157,3962785.13536552,205752.483697864,48.3306191989149
"67",102660.398237897,245187.332129048,4086311.8117698,128466.54409404,7054.45861149988,915063.765951054,1122444.74639137,916280.175004799,350710.089978412,4631.91842560911,1012152.83581105,2841831.92147958,3962400.01322536,206914.365927549,52.6229628910016
"68",102709.854523886,243531.780092329,4087033.04736182,129916.279980026,7039.82554291922,907238.644884613,1128094.92820183,920493.175326983,346079.604277448,4651.32556033525,1019928.5005915,2837837.29170584,3957465.77731122,210095.115742527,47.8488967455236
"69",101638.482917125,245874.434013258,4086359.74641958,126260.896986092,7051.43751141216,919286.994431506,1118321.71916764,925243.956248912,341741.291569384,4637.49659460973,1008951.52265137,2845267.8468191,3953388.29733149,218088.811444526,50.0658939781007
"70",101780.58766013,242980.950345409,4088981.33605266,129938.556891571,7038.75196277197,927863.804004451,1117185.48390284,914886.139757346,341352.020491333,4651.2973212655,1000232.60833542,2849297.56575177,3961124.52418998,214800.422617094,48.9507159625214
"71",100528.309542586,240258.160349608,4094555.51031343,129114.66777506,7033.14841947757,920171.862721168,1131375.91907666,911261.074273681,341819.444445939,4642.79118845714,1009176.82773625,2837829.92057373,3959175.41541289,215156.887779002,63.0603920652775
"72",99193.22970659,242633.428228272,4084584.04371978,135412.854937528,7060.25373523158,918458.015591134,1127220.00348057,916884.886456048,340880.426113428,4618.54716691063,1012225.75470227,2839610.56829115,3963523.06982415,209797.718949043,60.1990978577792
"73",101688.852195376,242324.701183325,4085217.04026589,134521.936097688,7064.9377147651,912369.282623235,1121901.98649467,925050.802288356,343479.178110084,4626.02528016359,1015818.86518139,2845237.312322,3954724.15744577,208089.885792229,48.0370050713145
"74",103842.478806328,244984.192521285,4076151.27758522,136530.389828944,7077.70455104539,913836.009967956,1114358.774188,936514.897132607,339643.309637293,4601.94548157841,1012198.51122572,2850121.03329071,3952325.82528217,209917.300533763,59.3499673761964
