"","ccount.BCVAP_2012.RomneyR_12G_President","ccount.HCVAP_2012.RomneyR_12G_President","ccount.WCVAP_2012.RomneyR_12G_President","ccount.OCVAP_2012.RomneyR_12G_President","ccount.X12G_President_CVAP.RomneyR_12G_President","ccount.BCVAP_2012.ObamaD_12G_President","ccount.HCVAP_2012.ObamaD_12G_President","ccount.WCVAP_2012.ObamaD_12G_President","ccount.OCVAP_2012.ObamaD_12G_President","ccount.X12G_President_CVAP.ObamaD_12G_President","ccount.BCVAP_2012.X12G_President_abstain","ccount.HCVAP_2012.X12G_President_abstain","ccount.WCVAP_2012.X12G_President_abstain","ccount.OCVAP_2012.X12G_President_abstain","ccount.X12G_President_CVAP.X12G_President_abstain"
"17",107185.723284975,247854.564565635,4080270.12399873,126566.607438837,6934.69655025715,871866.368312249,1150921.33842256,933006.51053533,346671.443404017,4753.60309185229,1050824.90840278,2810688.09701182,3951715.36546593,212852.949157148,50.7003578905531
"18",108697.36942843,240918.440519456,4092018.19760085,121710.636543868,6934.44453699009,881931.743114659,1151956.42441996,919143.444897414,351284.769279573,4752.95089148049,1039247.8874569,2816589.13506058,3953830.35750174,213095.594176559,51.6045715294014
"19",107106.264750265,241277.811107551,4090644.74106277,121868.458357203,6930.60136213443,887329.559220142,1158610.27311417,906497.598034611,350753.692246815,4756.30694438368,1035441.17602959,2809575.91577828,3967849.66090259,213468.849395982,52.0916934818796
"20",105197.609012286,242763.508746958,4094611.24850513,121310.096742909,6935.70009831136,897468.102081274,1155633.55186753,902365.883007856,348068.653985168,4760.13551796999,1027211.28890644,2811066.93938552,3968014.86848703,216712.249271924,43.1643837186364
"21",102054.025179849,244975.287167592,4093232.41304373,120214.518186112,6912.00910100373,898085.981165732,1152911.37113112,903355.988718226,349290.520968426,4777.51824010203,1029736.99365442,2811577.34170129,3968403.59823804,216585.96084546,49.4726588942258
"22",105087.30096167,247863.584260381,4087141.16542304,118172.042963565,6922.46018076827,897612.241790666,1144716.89850521,907137.491603162,354242.238123598,4771.28488323211,1027177.45724766,2816883.5172344,3970713.34297379,213676.718912834,45.2549359996159
"23",110265.726278178,246504.796643566,4085427.3229543,122564.05871496,6910.23668269989,889613.332488095,1143578.37859491,919312.422719104,351887.736931215,4767.56466470201,1029997.94123373,2819380.82476153,3960252.2543266,211639.204353824,61.1986525980858
"24",117213.824680963,239081.078200222,4084334.49692616,121548.679338077,6924.07172967053,891670.537750666,1147588.09619959,913266.964662225,351211.691234031,4759.48595847828,1020992.63756837,2822794.82560018,3967390.53841161,213330.629427892,55.4423118511789
"25",118478.745736066,237670.635128416,4086058.7200976,121279.998058785,6919.60750329091,881595.257276095,1170314.71209823,906116.161975922,344449.770685217,4766.50129968675,1029802.99698784,2801478.65277336,3972817.11792649,220361.231255998,52.891197022326
"26",112680.774697445,239225.31961042,4086086.67107451,124949.323781147,6901.10031087525,878183.326369274,1168039.4297311,905752.119561245,351386.17658124,4784.97014864291,1039012.89893328,2802199.25065848,3973153.20936423,209755.499637614,52.9295404818256
"27",113140.470243357,240584.005303095,4086743.19871804,121658.035324084,6931.76311768667,888559.038353508,1159950.54991187,904539.83727913,351977.771717882,4762.70332506747,1028177.49140314,2808929.44478503,3973708.96400284,212455.192958033,44.5335572458418
"28",111588.601538198,242907.766319732,4086961.10411854,120173.554909972,6912.94567479748,885061.700841814,1155008.650101,916464.729741776,346440.170978068,4768.68836436233,1033226.69761999,2811547.58357928,3961566.16613969,219477.274111957,57.3659608401843
"29",106007.047165301,239364.732104048,4095004.05258738,122256.036343039,6929.25026192831,898950.867448642,1135453.26296108,922712.450156317,345918.163934871,4761.54589857796,1024919.08538606,2834646.00493488,3947275.49725631,217916.79972209,48.2038394937254
"30",107097.624184917,244638.662492594,4087433.69281442,122178.082881141,6934.15205881455,881834.615704497,1139846.40643046,937481.664677906,345060.762762974,4749.14683301774,1040944.76011059,2824978.93107694,3940076.64250766,218852.154355884,55.701108167702
"31",108244.668443903,242256.664387544,4087693.2539705,121871.21653159,6950.40608064448,884102.662861585,1142740.29945242,930347.659415087,347404.757330757,4734.82180582004,1037529.66869452,2824467.03616003,3946951.0866144,216815.026137652,53.7721135354684
"32",114087.043594099,246474.623910424,4083999.77608957,117899.946858645,6960.63773523733,878926.497657111,1123636.06280341,946630.031195194,355841.681728668,4711.34476005771,1036863.45874879,2839353.31328617,3934362.19271522,212349.371412686,67.0175047049495
"33",112555.750838449,245029.224917343,4085032.10954359,120603.2266549,6969.16751017507,888928.490483697,1127564.33899219,944186.813277662,343584.193250302,4711.9207532974,1028392.75867785,2836870.43609046,3935773.07717874,221903.5800948,57.9117365275184
"34",107951.55536215,253552.815945635,4079082.8610292,118996.435526678,6988.30419361599,888954.393303782,1135716.11170418,927832.43132214,351811.069969363,4694.40608783068,1032971.05133407,2820195.07235019,3958076.70764865,215283.494503959,56.289718553316
"35",102626.425043698,251159.49098546,4090081.48920559,119634.708207247,6980.19688936983,897306.96026311,1134595.13799019,919293.766526824,351695.788154311,4706.8573248452,1029943.61469319,2823709.37102436,3955616.74426761,214760.503638443,51.9457857849629
"36",105788.628075794,249696.939758391,4087061.272184,119781.968893415,6949.45932952318,884453.197256746,1132896.41046147,933313.477904309,352798.612486367,4725.84375026287,1039635.17466746,2826870.64978014,3944617.24991167,213510.418620216,63.6969202139282
"37",103584.908679267,247271.561652944,4087747.77695212,122881.80729907,6952.1162866373,883768.715334962,1133867.63602545,932843.549695649,352696.244343606,4733.96157878785,1042523.37598577,2828324.8023216,3944400.67335224,210512.948357324,52.9221345748372
"38",105459.653374173,246538.18188037,4088568.46036859,122567.350867896,6928.46837508382,884463.406917224,1136880.79665981,924567.956765411,359033.424707817,4752.97519432502,1039953.9397086,2826045.02145982,3951855.58286601,204490.224424288,57.5564305911466
"39",105709.738855561,245806.346674406,4088212.87276601,122894.705027883,6911.10599117084,898391.669085034,1131390.41577062,916957.356242293,357064.480082387,4769.25756596245,1025775.59205941,2832267.23755497,3959821.77099169,206131.81488973,58.6364428666947
"40",103526.448093083,245200.799173238,4090255.86083413,121534.188867213,6936.00767266213,908818.37622819,1135737.33705243,902843.929826902,358775.895810418,4754.76282014125,1017532.17567873,2828525.86377434,3971892.20933895,205780.915322369,48.2295071966044
"41",108907.668471827,247545.419253744,4086423.1110188,120483.618045634,6944.52580380706,898983.109944018,1145032.39850643,907248.775736155,355515.429227681,4739.97591210094,1021986.22158416,2816886.18223982,3971320.11324504,210091.952726685,54.4982840919912
"42",111372.992108356,248175.390050996,4084766.53794778,117953.124090263,6948.05281764265,904773.009236387,1158222.3253172,895572.670660585,346109.787161258,4729.17096797452,1013730.99865526,2803066.28463182,3984652.79139163,222028.088748478,61.7762143828108
"43",109324.265953405,244364.859532151,4094075.30356771,116656.733707385,6948.51858044956,907048.401465615,1156737.55964408,892999.704381563,346024.63031825,4733.51516750057,1013504.33258098,2808361.58082377,3977916.99205072,223409.635974365,56.9662520498622
"44",104713.223890167,243342.777748715,4097900.38368814,117130.640157751,6937.94548609938,913371.460240542,1145648.64124563,909011.509734217,337103.284081366,4738.9137856443,1011792.31586929,2820472.58100565,3958080.10657764,231857.075760882,62.1407282563003
"45",104373.096950927,242114.794330281,4099278.94267606,119007.631137633,6944.31249472837,907642.7824155,1141486.51693939,914244.246982441,340021.002121988,4744.52331489617,1017861.12063358,2825862.68873033,3951468.81034149,227062.36674038,50.1641903754449
"46",102800.805402457,238258.988007296,4098878.17102423,122480.30568184,6947.54866848026,908294.791462875,1140470.5825095,908205.754757747,346013.835645342,4736.24221926742,1018781.40313467,2830734.42948321,3957908.07421803,217596.858672818,55.2091122523122
"47",106484.142890239,235329.013883086,4098488.84640863,124132.031868271,6935.16287052742,903166.200523558,1139610.8533162,915431.279963262,345818.773528642,4751.04436272269,1020226.65658621,2834524.13280072,3951071.87362811,216140.194603087,52.7927667498774
"48",108359.775824832,242038.569802191,4091318.09762808,120270.763059923,6917.52423661435,902985.442592391,1128734.09690942,922596.154576472,348865.309446288,4758.16838415401,1018531.78158278,2838691.33328839,3951077.74779547,216954.927493791,63.3073792316262
"49",109072.562321663,240225.244044943,4090727.09252484,120019.67347637,6956.10055874536,913318.783934001,1122732.69246854,922000.130880798,346001.193012552,4727.43247889397,1007485.65374433,2846506.06348652,3952264.77659436,220070.133511078,55.4669623606589
"50",108668.39240761,239284.107409239,4094027.79024992,118224.868023718,6942.86925204016,912874.248172617,1117178.11331886,928480.099956109,344856.065382056,4740.91144678501,1008334.35941977,2853001.77927191,3942484.10979397,223010.066594226,55.2193011748162
"51",107722.266663013,245127.747068137,4092721.79246553,117727.847794848,6964.61366537565,912388.621415861,1129457.84383206,918740.882492259,342090.060407896,4716.62018901434,1009766.11192113,2834878.4090998,3953529.32504221,226273.091797256,57.7661456099899
"52",105918.077484074,242315.314535703,4094003.254675,119460.940015322,6993.16576403652,915384.445483009,1134495.4331466,916698.643075789,335185.444327302,4691.41765023989,1008574.47703291,2832653.2523177,3954290.10224921,231444.615657376,54.4165857235832
"53",110080.706104322,243130.664254607,4087838.2101183,120061.479765092,7011.30787760795,919302.366166382,1137360.42161666,913763.796262577,334772.444934311,4680.16665700585,1000493.9277293,2828972.91412873,3963389.99361912,231257.075300599,47.5254653861879
"54",108395.950521676,251844.561871879,4083696.26186231,118806.389525765,6988.47812271365,926780.235811836,1135166.15150513,902838.234164281,337830.622959536,4699.48419204285,994700.813666491,2822453.28662298,3978457.50397339,229453.987514698,51.0376852434942
"55",109777.24707007,243832.355516877,4088578.61211307,123337.464688648,6970.56084445115,913568.283660187,1143214.41734047,909957.498119392,333997.700562099,4708.04304883447,1006531.46926974,2822417.22714265,3966455.88976756,228755.834749255,60.396106714368
"56",113616.286289834,244348.041407445,4077261.43287917,125021.689907488,6957.45059186566,906840.079860256,1147455.01870141,906311.215930474,342675.87991652,4716.87237804128,1009420.63384991,2817660.93989115,3981419.35119036,218393.430175991,64.6770300930506
"57",105348.932089481,246363.346070325,4088494.29727542,123213.412968764,6942.76287910156,902558.178738803,1139164.04146852,915598.858154479,345767.538645251,4742.9562922849,1021969.88917172,2823936.61246115,3960898.84457013,217110.048385985,53.2808286135181
"58",110270.68711473,247565.327457194,4078957.04997096,123589.956510403,6932.38503514803,904657.20158627,1138451.00491623,919660.198728468,342472.096229949,4753.67734771261,1014949.11129899,2823447.66762658,3966374.75130055,220028.947259647,52.9376171393402
"59",114891.922754572,253143.875232192,4068083.82874556,126299.127500422,6910.29437339186,897977.660524298,1136903.59780155,929345.481881086,338982.44051872,4759.9245448062,1017007.41672114,2819416.52696625,3967562.68937336,220809.431980859,68.7810818019316
"60",114126.380259244,246370.655870731,4081517.38466735,121401.902149525,6924.82581485965,901352.272375939,1135064.88355223,926589.004844666,341770.94880808,4769.2468367526,1014398.34736482,2828028.46057705,3956885.61048798,222918.149042395,44.9273483877435
"61",106230.462148136,250044.996657946,4081029.25685272,124035.969762968,6929.73624201185,903835.706606774,1138182.10126473,919482.855946408,343302.64316611,4753.57775169079,1019810.83124509,2821236.90207731,3964479.88720086,218752.387070921,55.6860062973427
"62",108702.286221112,244545.424999081,4077530.31833387,126718.038593545,6943.28624608491,898852.033792787,1130009.77305275,924374.289128262,351353.509460746,4746.246453685,1022322.6799861,2834908.80194818,3963087.39253787,208019.451945709,49.4673002300812
"63",112096.54296002,243533.044488784,4085407.09448955,123985.112715944,6918.74267675079,895373.446804586,1134054.28603465,914745.933552903,358035.305913664,4755.33327491279,1022407.01023539,2831876.66947657,3964838.97195756,204070.581370391,64.9240483364214
"64",113655.730411584,250703.042324521,4073830.43876134,125093.137545152,6938.72743485744,905557.942484452,1140793.2393931,904393.764414183,352711.728641174,4750.84844369143,1010663.32710396,2817967.71828237,3986767.79682448,208286.133813674,49.4241214511193
"65",113134.267513603,248155.993597302,4082884.67014257,121005.491681844,6918.21395248872,903634.220334929,1136517.64628528,912866.16721297,349107.311353793,4766.64945720036,1013108.51215147,2824790.36011742,3969241.16264446,215978.196964365,54.1365903109049
"66",109473.99694479,246640.487922574,4088025.77045684,115926.70396257,6902.8110333158,901208.927679373,1130185.99723491,912527.563915508,360471.005393589,4785.46820205154,1019194.07537584,2832637.51484251,3964438.66562767,209693.290643843,50.7207646326516
"67",106131.276119074,248940.993467865,4087350.8851394,122078.297901648,6902.20840947698,900810.631517671,1136425.00843976,908268.634730922,357045.161724764,4777.22615123817,1022935.09236325,2824097.99809237,3969372.48012968,206967.540373589,59.5654392848286
"68",102607.791451333,248516.316504306,4092831.22379494,119977.899503424,6927.14267135612,901443.873583538,1129926.61862258,918095.950612178,354547.954698171,4768.58674333712,1025825.33496514,2831021.06487311,3954064.82559287,211565.145798408,43.2705853067535
"69",107377.174989478,249272.721238201,4086548.62122048,121684.518766243,6926.14483120363,904036.926797224,1137515.8929233,911730.813659075,351949.590902517,4752.51612654227,1018462.8982133,2822675.38583849,3966712.56512045,212456.890331239,60.3390422540822
"70",105598.861240044,245186.210024631,4091589.14705763,120426.100103565,6927.25355484542,895917.734871891,1149715.11532361,905442.55278708,354677.063255674,4761.98727793134,1028360.40388806,2814562.67465178,3967960.30015528,210987.836640762,49.7591672232267
"71",108492.497485833,244050.999544963,4086498.19180868,122508.158521983,6912.78186359799,897481.899734615,1148784.45559178,902932.881609758,352759.150337286,4765.97184470151,1023902.60277955,2816628.54486326,3975560.92658154,210823.69114073,60.2462917004798
"72",114362.742671375,243489.060421149,4086344.89565704,120671.496852203,6940.23816952595,899422.759205764,1140234.85510449,908826.374572859,356039.667350086,4750.15527853655,1016091.49812286,2825740.08447437,3969820.7297701,209379.835797709,48.6065519374901
"73",112599.513720282,246503.232024032,4080871.51290969,121507.469513535,6947.56458494804,903569.095922687,1131843.32723168,918192.295672549,350876.792576808,4735.20846649226,1013708.39035703,2831117.44074429,3965928.19141774,213706.737909657,56.2269485596868
"74",108725.384293766,250675.114453381,4086107.61004121,116377.164831388,6974.45036894429,900067.227469905,1131811.57193799,912381.331917362,359730.734934746,4700.96649212452,1021084.38823633,2826977.31360863,3966503.05804142,209983.100233866,63.583138931176
"75",114694.398135915,245768.560136633,4082012.9702284,118998.919151958,6990.67059002004,904509.848794958,1128834.12026168,915173.350238691,355780.290842952,4695.32491058416,1010672.75306913,2834861.31960169,3967805.67953291,211311.79000509,53.0044993957941
"76",116371.744523396,249888.273764243,4082154.58983123,117107.04810383,6958.82473616375,894375.585162882,1133153.90471124,927377.006000058,346461.168806221,4716.01615931703,1019129.67031372,2826421.82152454,3955460.40416872,222522.783089949,64.1591045192039
"77",111359.416750258,250247.925628591,4077962.54730479,122258.769340031,6993.91635704193,893303.664352878,1128390.65390504,939852.720519734,341749.594501772,4682.96589734842,1025213.91889687,2830825.42046637,3947176.73217547,222082.636158198,62.117745609641
"78",112419.941750602,244362.764054139,4083347.927829,123653.14954414,6997.34423638019,899740.451589353,1135693.76642597,923601.04039511,346945.852868227,4692.55825564978,1017716.60666004,2829407.46951989,3958043.03177588,215491.997587636,49.0975079700168
"79",114510.67160649,247660.501343842,4074036.45882173,124815.850957035,6989.54883677174,896924.140405175,1135408.22739349,926711.940956062,342756.081136729,4683.51315837192,1018442.18798833,2826395.27126267,3964243.60022218,218519.067906236,65.9380048563289
"80",118139.015550493,242506.857825541,4076154.81714595,125837.180733491,7002.77026460634,899627.847520743,1138265.489231,918344.408287863,345482.684561847,4688.93662955369,1012110.13692876,2828691.65294346,3970492.77456617,214771.134704662,47.293105839962
"81",117125.061473818,236673.545129981,4081066.42050378,126535.223074921,7016.40733173331,897010.288537099,1139247.19250935,924849.13164067,343185.434564824,4672.54049383756,1015741.64998909,2833543.26236068,3959076.44785556,216370.342360255,50.0521744291169
"82",113007.80908645,244078.903240402,4075578.13716244,127920.190562974,7024.86062175291,893666.326671102,1142436.40768828,921864.480645422,344599.618942116,4668.29932410176,1023202.86424245,2822948.68907132,3967549.38219215,213571.190494909,45.84005414532
